2022-02-27 20:17:37,464 | BreathCaller | INFO | Beginning Analysis
2022-02-27 20:17:37,464 | BreathCaller | INFO | 2022-02-27T20:17:37.460274
2022-02-27 20:17:37,464 | BreathCaller | INFO | command line argument : i : D:/BCM/Alz/Hypoxia
2022-02-27 20:17:37,464 | BreathCaller | INFO | command line argument : f : ['M17859_Ply971.txt']
2022-02-27 20:17:37,465 | BreathCaller | INFO | command line argument : o : 
2022-02-27 20:17:37,465 | BreathCaller | INFO | command line argument : p : C:/Users/atwit/Desktop/PAPR/PAPR Output/basics.csv
2022-02-27 20:17:37,465 | BreathCaller | INFO | command line argument : a : C:/Users/atwit/Desktop/PAPR/PAPR Output/Alz_metadata0.csv
2022-02-27 20:17:37,465 | BreathCaller | INFO | command line argument : m : 
2022-02-27 20:17:37,465 | BreathCaller | INFO | command line argument : c : C:/Users/atwit/Desktop/PAPR/PAPR Output/auto_sections.csv
2022-02-27 20:17:37,466 | BreathCaller | INFO | input paths : signal files : ['D:/BCM/Alz/Hypoxia\\M17859_Ply971.txt']
2022-02-27 20:17:37,466 | BreathCaller | INFO | input paths : output path : 
2022-02-27 20:17:37,466 | BreathCaller | INFO | input paths : analysis parameters path : C:/Users/atwit/Desktop/PAPR/PAPR Output/basics.csv
2022-02-27 20:17:37,466 | BreathCaller | INFO | input paths : animal metadata path : C:/Users/atwit/Desktop/PAPR/PAPR Output/Alz_metadata0.csv
2022-02-27 20:17:37,466 | BreathCaller | INFO | input paths : manual selections path : 
2022-02-27 20:17:37,466 | BreathCaller | INFO | input paths : auto criteria path : C:/Users/atwit/Desktop/PAPR/PAPR Output/auto_sections.csv
2022-02-27 20:17:37,541 | BreathCaller | INFO | D:/BCM/Alz/Hypoxia\M17859_Ply971.txt
2022-02-27 20:17:37,561 | BreathCaller | INFO | Signal File has HEADER AT LINE: 0
2022-02-27 20:18:29,080 | BreathCaller | INFO | no changes made to chamber temperature data
2022-02-27 20:18:29,245 | BreathCaller | INFO | applying enhanced chamber temperature check
2022-02-27 20:18:34,805 | BreathCaller | WARNING | Chamber Temperature contains out of range data, fixes applied
2022-02-27 20:18:36,924 | BreathCaller | INFO | no midpoint body temperature present in metadata
2022-02-27 20:18:36,925 | BreathCaller | INFO | midpoint body temp filled in with average
2022-02-27 20:18:54,710 | BreathCaller | INFO | detection of breaths started
2022-02-27 20:19:52,175 | BreathCaller | INFO | 21178 breaths found
2022-02-27 20:20:55,435 | BreathCaller | INFO | 0 breaths removed from initial quality filter
2022-02-27 20:20:56,289 | BreathCaller | WARNING | unable to calibrate CO2 - insufficient data - correction factor multiplier provided in analysis paramters used
2022-02-27 20:20:59,740 | BreathCaller | INFO | Barometric Pressure field found [Bar_Pres] units assumed to be inHg
2022-02-27 20:20:59,740 | BreathCaller | INFO | Calibration Volume field found [Calibration_Volume] units assumed to be uL
2022-02-27 20:20:59,740 | BreathCaller | INFO | Flowrate field found [Rotometer_Flowrate] units converted to SLPM using std curve
2022-02-27 20:20:59,741 | BreathCaller | INFO | Body Weight field found [Weight] units assumed to be g
2022-02-27 20:20:59,806 | BreathCaller | INFO | Applying volumetric and respiratory calculations
2022-02-27 20:21:03,221 | BreathCaller | INFO | Barometric Pressure field found [Bar_Pres] units assumed to be inHg
2022-02-27 20:21:03,221 | BreathCaller | INFO | Calibration Volume field found [Calibration_Volume] units assumed to be uL
2022-02-27 20:21:03,222 | BreathCaller | INFO | Flowrate field found [Rotometer_Flowrate] units converted to SLPM using std curve
2022-02-27 20:21:03,222 | BreathCaller | INFO | Body Weight field found [Weight] units assumed to be g
2022-02-27 20:21:03,392 | BreathCaller | INFO | Applying volumetric and respiratory calculations
2022-02-27 20:21:12,560 | BreathCaller | INFO | completed file D:/BCM/Alz/Hypoxia\M17859_Ply971.txt
2022-02-27 20:21:12,560 | BreathCaller | INFO | Duration of Run : 0 hrs 3 mins 35 secs
